train_loss,train_accuracy,valid_loss,valid_accuracy
0.2418,0.8882,0.1735,0.9338
0.1387,0.9393,0.1514,0.9412
0.1052,0.9527,0.0765,0.9732
0.0856,0.9645,0.0789,0.9648
0.0765,0.9629,0.0692,0.9722
